geneA	geneB
ARF5	COPG1
ARF5	KIF19
ARF5	ANK1
ARF5	KIF18A
ARF5	TMED10
ARF5	KIF1A
ARF5	ARFGAP2
ARF5	DYNC1I2
ARF5	TMED7
ARF5	KIF2C
ARF5	COPA
ARF5	DYNC2LI1
ARF5	KIFAP3
ARF5	COPB1
ARF5	ARCN1
ARF5	COPE
ARF5	KIF1B
ARF5	ARFGAP1
ARF5	KIF4A
ARF5	CENPE
ARF5	SURF4
ARF5	KIF6
ARF5	KIF4B
ARF5	INS
ARF5	KIF16B
ARF5	CD59
ARF5	DYNC1I1
ARF5	KIF21A
ARF5	DCTN2
ARF5	KLC2
ARF5	KIF3C
ARF5	KLC4
ARF5	KIF2B
ARF5	KIF1C
ARF5	SPTBN1
ARF5	KIF20A
ARF5	KIF12
ARF5	YKT6
ARF5	DCTN5
ARF5	TMED2
ARF5	SPTB
ARF5	ARF4
ARF5	DYNC1H1
ARF5	KIF21B
ARF5	CD55
ARF5	KIF25
ARF5	KDELR3
ARF5	KIF26A
ARF5	KIF13B
ARF5	DYNC2H1
ARF5	KIF26B
ARF5	KIF3B
ARF5	DYNLL1
ARF5	KIF27
ARF5	RAB1B
ARF5	CYTH3
ARF5	KIF3A
ARF5	DCTN6
ARF5	SPTBN5
ARF5	TMED9
ARF5	FOLR1
ARF5	KLC1
ARF5	KDELR1
ARF5	KIF11
ARF5	GBF1
ARF5	ANK2
ARF5	DCTN4
ARF5	KIF5B
ARF5	DCTN3
ARF5	KDELR2
ARF5	ARFGAP3
ARF5	SPTBN4
ARF5	KIFC2
ARF5	ANK3
ARF5	DYNC1LI2
ARF5	DCTN1
ARF5	KIF5A
ARF5	KIF23
ARF5	KIF2A
ARF5	BET1
ARF5	KIF20B
ARF5	RAB1A
ARF5	KIF15
ARF5	ARF3
ARF5	KIF22
ARF5	KLC3
ARF5	SPTBN2
ARF5	ARF1
ARF5	RACGAP1
ARF5	TMED3
ARF5	COPZ1
ARF5	SPTAN1
ARF5	COPB2
M6PR	AGTR1
M6PR	FNBP1
M6PR	HIP1
M6PR	AP2S1
M6PR	AP1M2
M6PR	RAB9A
M6PR	CD3D
M6PR	WNT5A
M6PR	NAPA
M6PR	VPS52
M6PR	ACTR3
M6PR	SLC2A8
M6PR	AP2A2
M6PR	PACSIN2
M6PR	CLTC
M6PR	FCHO2
M6PR	ARPC4
M6PR	STX16
M6PR	CBL
M6PR	SNX18
M6PR	REPS2
M6PR	VPS54
M6PR	RHOBTB3
M6PR	DNM2
M6PR	SCARB2
M6PR	UBC
M6PR	NAPG
M6PR	VAMP7
M6PR	IGF2R
M6PR	VPS51
M6PR	EPN1
M6PR	SYNJ1
M6PR	REPS1
M6PR	PICALM
M6PR	CHRM2
M6PR	RAB5C
M6PR	SYNJ2
M6PR	CTTN
M6PR	KIAA0319
M6PR	EGF
M6PR	ARPC1A
M6PR	CFTR
M6PR	STX10
M6PR	GAPVD1
M6PR	DVL2
M6PR	CD3G
M6PR	BLOC1S1
M6PR	ARPC3
M6PR	PIK3C2A
M6PR	NECAP1
M6PR	DNM1
M6PR	AGFG1
M6PR	TFRC
M6PR	ADRB2
M6PR	SLC18A3
M6PR	VTI1A
M6PR	CLTA
M6PR	TF
M6PR	FCHO1
M6PR	PLIN3
M6PR	RAB9B
M6PR	VAMP4
M6PR	EPS15
M6PR	GAK
M6PR	EGFR
M6PR	ITSN2
M6PR	FZD4
M6PR	AP1G1
M6PR	STON2
M6PR	CD4
M6PR	OCRL
M6PR	AMPH
M6PR	CLTB
M6PR	NECAP2
M6PR	BIN1
M6PR	WASL
M6PR	RAB5B
M6PR	AP1S2
M6PR	CTSZ
M6PR	GCC2
M6PR	AP2M1
M6PR	AP1B1
M6PR	SGIP1
M6PR	SH3GL1
M6PR	VAMP2
M6PR	LDLRAP1
M6PR	RAB5A
M6PR	TXNDC5
M6PR	DNASE2
M6PR	AP2A1
M6PR	ARRB1
M6PR	SYT2
M6PR	TGOLN2
M6PR	ACTR2
M6PR	GNS
M6PR	RPS27A
M6PR	PACSIN3
M6PR	TACR1
M6PR	NAPB
M6PR	DNAJC6
M6PR	HSPA8
M6PR	ARF1
M6PR	ARRB2
M6PR	UBQLN2
M6PR	AAK1
M6PR	RABEPK
M6PR	AVP
M6PR	SYT8
M6PR	EPN2
M6PR	UBB
M6PR	SH3GL3
M6PR	DAB2
M6PR	ARPC2
M6PR	SYT11
M6PR	NSF
M6PR	SH3GL2
M6PR	VPS53
M6PR	PACSIN1
M6PR	HIP1R
M6PR	VAMP3
M6PR	SYT1
M6PR	AVPR2
M6PR	TRIP10
M6PR	APOB
M6PR	LDLR
M6PR	SNX9
M6PR	SNAP91
M6PR	AP1S3
M6PR	LRP2
M6PR	SYT9
M6PR	VAMP8
M6PR	AP1M1
M6PR	AP1S1
M6PR	ARPC5
M6PR	ITSN1
M6PR	FNBP1L
M6PR	UBA52
ESRRA	ALAS1
ESRRA	PPARGC1A
ESRRA	MEF2C
ESRRA	PPARA
ESRRA	PPARGC1B
ESRRA	NRF1
ESRRA	MED1
ESRRA	MEF2A
ESRRA	ATP5F1B
ESRRA	MEF2D
ESRRA	CYCS
FKBP4	HSP90AA1
FKBP4	KLK3
FKBP4	HSF1
FKBP4	HSP90AB1
FKBP4	PTGES3
CYP26B1	UGT1A7
CYP26B1	CYP2A6
CYP26B1	UGT2B10
CYP26B1	UGT1A9
CYP26B1	UGT2B4
CYP26B1	CYP3A5
CYP26B1	UGT1A5
CYP26B1	CYP2C9
CYP26B1	CYP2C18
CYP26B1	AOX1
CYP26B1	CYP3A4
CYP26B1	CYP2B6
CYP26B1	UGT1A3
CYP26B1	UGT2B17
CYP26B1	UGT2A3
CYP26B1	CYP1A1
CYP26B1	UGT1A4
CYP26B1	ALDH1A2
CYP26B1	UGT1A1
CYP26B1	UGT2B7
CYP26B1	UGT2B15
CYP26B1	UGT1A8
CYP26B1	UGT1A10
CYP26B1	CYP3A7
CYP26B1	CYP2C8
CYP26B1	UGT1A6
CYP26B1	UGT2B11
CYP26B1	CYP1A2
CYP26B1	ALDH1A1
CYP26B1	CYP4A11
CYP26B1	CYP2S1
CYP26B1	CRABP1
NDUFAF7	MT-ND2
NDUFAF7	NDUFC2
NDUFAF7	ACAD9
NDUFAF7	NUBPL
NDUFAF7	NDUFB3
NDUFAF7	NDUFB10
NDUFAF7	NDUFA6
NDUFAF7	NDUFA10
NDUFAF7	NDUFV1
NDUFAF7	NDUFB2
NDUFAF7	NDUFB9
NDUFAF7	MT-ND1
NDUFAF7	NDUFA8
NDUFAF7	NDUFAB1
NDUFAF7	ECSIT
NDUFAF7	NDUFA2
NDUFAF7	MT-ND4
NDUFAF7	NDUFAF3
NDUFAF7	NDUFAF2
NDUFAF7	NDUFAF1
NDUFAF7	NDUFS2
NDUFAF7	NDUFS6
NDUFAF7	MT-ND5
NDUFAF7	NDUFA1
NDUFAF7	MT-ND6
NDUFAF7	NDUFS1
NDUFAF7	NDUFA5
NDUFAF7	NDUFB11
NDUFAF7	TMEM126B
NDUFAF7	NDUFS3
NDUFAF7	NDUFA11
NDUFAF7	NDUFS5
NDUFAF7	NDUFAF6
NDUFAF7	NDUFB1
NDUFAF7	NDUFA9
NDUFAF7	NDUFS7
NDUFAF7	NDUFAF4
NDUFAF7	NDUFA12
NDUFAF7	NDUFB8
NDUFAF7	NDUFB6
NDUFAF7	MT-ND3
NDUFAF7	NDUFV2
NDUFAF7	NDUFB7
NDUFAF7	NDUFV3
NDUFAF7	NDUFS8
NDUFAF7	NDUFA13
NDUFAF7	NDUFAF5
NDUFAF7	TIMMDC1
NDUFAF7	NDUFB5
NDUFAF7	NDUFB4
NDUFAF7	NDUFS4
NDUFAF7	NDUFA3
HS3ST1	SDC3
HS3ST1	GPC6
HS3ST1	GPC2
HS3ST1	GPC5
HS3ST1	HSPG2
HS3ST1	SDC2
HS3ST1	SDC4
HS3ST1	GPC1
HS3ST1	GPC4
HS3ST1	GPC3
HS3ST1	SDC1
HS3ST1	AGRN
CFTR	OCRL
CFTR	NECAP2
CFTR	PSMD9
CFTR	PSMB9
CFTR	AP2M1
CFTR	WNT5A
CFTR	PSMA4
CFTR	PSMA7
CFTR	PSME1
CFTR	EZR
CFTR	DNAJC6
CFTR	ARRB2
CFTR	PSMA3
CFTR	PSMD11
CFTR	SYT8
CFTR	AVP
CFTR	PACSIN1
CFTR	SH3GL2
CFTR	UBB
CFTR	HIP1R
CFTR	VAMP3
CFTR	PSMC4
CFTR	PSMB6
CFTR	F2
CFTR	OS9
CFTR	ARPC5
CFTR	SYT9
CFTR	PSMC2
CFTR	PSMA1
CFTR	HIP1
CFTR	SLC2A8
CFTR	CLTC
CFTR	DERL1
CFTR	CBL
CFTR	REPS2
CFTR	PSME2
CFTR	VCP
CFTR	AP2S1
CFTR	ACTR3
CFTR	UBC
CFTR	PSMC1
CFTR	DNM2
CFTR	CTTN
CFTR	ERLIN2
CFTR	SYNJ1
CFTR	VAMP7
CFTR	PSME3
CFTR	USP10
CFTR	AGT
CFTR	ARPC3
CFTR	PSMC3
CFTR	TFRC
CFTR	PRKAR1A
CFTR	CCL11
CFTR	PSMF1
CFTR	SCARB2
CFTR	STON2
CFTR	GAK
CFTR	CLTB
CFTR	PSMB4
CFTR	PSMD4
CFTR	RHOQ
CFTR	RAB5A
CFTR	AP2A1
CFTR	TACR1
CFTR	PRKAR1B
CFTR	ACTR2
CFTR	RPS27A
CFTR	UBQLN2
CFTR	REPS1
CFTR	SLC18A3
CFTR	ARPC1A
CFTR	EGF
CFTR	DVL2
CFTR	CD3G
CFTR	PIK3C2A
CFTR	AGFG1
CFTR	SEL1L
CFTR	CLTA
CFTR	PSMD3
CFTR	PSMB5
CFTR	FCHO1
CFTR	CD4
CFTR	BIN1
CFTR	WASL
CFTR	RAB5B
CFTR	PSMA8
CFTR	PRKACG
CFTR	AMPH
CFTR	PSMD10
CFTR	PSMB7
CFTR	PSME4
CFTR	PSMC5
CFTR	PSMA5
CFTR	TGOLN2
CFTR	HSPA8
CFTR	SH3GL1
CFTR	ERLEC1
CFTR	ARPC2
CFTR	SYT1
CFTR	PSMD14
CFTR	FNBP1L
CFTR	EDN1
CFTR	ERLIN1
CFTR	LRP2
CFTR	PSMD2
CFTR	ITSN2
CFTR	SYNJ2
CFTR	KIAA0319
CFTR	RNF185
CFTR	GAPVD1
CFTR	CXCL12
CFTR	PSMA6
CFTR	ADRB2
CFTR	NECAP1
CFTR	PSMB1
CFTR	SLC9A3R1
CFTR	TF
CFTR	DERL2
CFTR	PICALM
CFTR	DNM1
CFTR	VAMP4
CFTR	EPS15
CFTR	PSMD8
CFTR	EGFR
CFTR	FZD4
CFTR	DERL3
CFTR	PRKAR2A
CFTR	PRKACB
CFTR	PSMD7
CFTR	PSMD12
CFTR	RAB5C
CFTR	SNX18
CFTR	PSMB2
CFTR	SNAP91
CFTR	AAK1
CFTR	SNX3
CFTR	PSMC6
CFTR	PSMB11
CFTR	EPN2
CFTR	SYT11
CFTR	SNX9
CFTR	APOB
CFTR	LDLR
CFTR	TRIP10
CFTR	PSMD5
CFTR	ITSN1
CFTR	UBA52
CFTR	PSMD13
CFTR	PACSIN2
CFTR	SEM1
CFTR	FCHO2
CFTR	FNBP1
CFTR	CD3D
CFTR	AP2A2
CFTR	ARPC4
CFTR	CHRM2
CFTR	RNF5
CFTR	SYT2
CFTR	EPN1
CFTR	VAMP2
CFTR	GNGT1
CFTR	IGF2R
CFTR	PSMD6
CFTR	ARRB1
CFTR	PSMB8
CFTR	PACSIN3
CFTR	LDLRAP1
CFTR	SGIP1
CFTR	PSMB10
