gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
A1BG	0.084394	0.052954	0.113857	0.204509	1.066997
A1CF	0.011735	0	0.054533	0.009223	0.006874
A2M	63.15367	132.638061	53.317394	91.558701	62.368713
A2ML1	0.041885	0.137976	1.07331	0.566972	0.027118
A3GALT2	0.015737	0	0.033027	0	0
A4GALT	3.364263	8.793887	3.920475	10.367653	16.228658
A4GNT	0.00909	0.044918	0.104926	0	0.027956
AAAS	10.169983	5.049601	10.724521	6.870621	13.312824
AACS	2.253732	1.515811	1.731922	1.85046	4.519115
AADAC	0.028955	0.190768	0.121533	0.637187	0.009894
AADACL2	0	0	0	0.100428	0
AADACL3	0	0	0	0	0.004076
AADACL4	0	0	0	0	0
AADAT	1.598582	2.028123	0.430685	0.20055	0.59791
AAGAB	29.690963	16.119012	18.598672	19.288528	22.759498
AAK1	1.452531	3.261811	3.363156	2.09342	0.932548
AAMDC	9.420908	5.6773	7.172812	6.677998	6.064566
AAMP	38.335652	27.023503	27.927347	29.807399	42.693439
AANAT	0.014702	0.024216	0	0.16177	0.075358
AAR2	29.649373	16.725858	18.816068	22.742026	35.045184
AARD	34.234226	10.509981	47.800633	0	1.457393
AARS1	47.843133	24.029019	30.338402	34.83784	37.1419
AARS2	2.502161	3.87449	5.644121	3.740173	5.894084
AARSD1	1.164847	0.472492	1.400154	1.177651	2.076296
AASDH	3.213619	3.823116	4.163373	4.101119	3.567352
AASDHPPT	26.267029	12.432838	7.723868	10.123904	6.296555
AASS	0.547044	1.172492	0.813192	0.61734	0.481695
AATF	22.919375	8.150798	7.647388	23.081661	20.554023
AATK	0.36983	0.149091	0.325649	1.742923	0.466603
ABAT	4.447776	1.502184	8.371981	11.757382	7.733444
ABCA1	2.144673	10.286654	3.00503	3.985602	3.347216
ABCA10	0.032562	0.252391	0.022109	0.084301	0.274894
ABCA12	5.560185	0.042242	9.865647	0.369194	0.170012
ABCA13	0.007596	0.006951	0.932599	0.08126	0.00173
ABCA2	11.023652	4.173047	9.988531	12.599959	9.603353
ABCA3	7.672096	10.655654	9.883868	8.911938	47.319432
ABCA4	0.641928	0.064667	0.556167	0.440091	0.044272
ABCA5	0.564048	1.509431	0.272179	1.063527	2.271449
