gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
A1BG-AS1	1.325751	1.072825	1.203623	2.227701	4.083019
A2M-AS1	0.521462	0.786311	0.701309	0.161622	0.715249
A2ML1-AS1	0	0	0.037374	0	0.073024
A2ML1-AS2	0	0	0	0	0
A2MP1	0.020742	0.039858	0.047157	0.009509	0.049613
AACSP1	0.12384	0	0.009996	0.013102	0.043944
AADACL2-AS1	0.101412	0.041759	0.186223	0.139479	0.103959
AADACP1	0	0.039538	0.016792	0.132061	0
AATBC	0.092486	0.076166	0.700123	0.386149	0.169301
ABALON	0.321477	0.09754	0.230804	0.558501	0.390255
ABC12-49244600F4.4	0	0	0	0	0
ABCA11P	0.317368	0.437195	0.605486	0.34126	0.455471
ABCA17P	0.142038	0.076638	0.131054	0.047154	0.130541
ABCA9-AS1	0.005384	0	0.00565	0.014811	0
ABCC13	2.650172	0.007419	0.118166	0.103256	0
ABCC5-AS1	0.034327	0	0.072039	0	0.070377
ABCC6P1	0.018769	0.007729	0.787785	0.096804	0.01443
ABCC6P2	0	0.24621	0.235279	0.061678	0.091941
ABHD11-AS1	0.432775	0.570254	3.23935	1.349169	3.844886
ABHD15-AS1	0	0	0.090337	0	0
AC000032.1	0	0	0	0	0
AC000036.1	0	0	0	0.021815	0.01626
AC000058.1	0.030036	0	0	0	0
AC000061.1	0	0	0	0	0
AC000067.1	0.056095	0	0.117722	0	0.115007
AC000068.1	0.667922	0.366708	0.201396	0.749689	0.1574
AC000068.2	0.41998	0.057645	0.330516	0.529488	0.251139
AC000068.3	0	0	0	0	0
AC000120.2	0.050658	0.033375	0.021263	0	0.176563
AC000123.1	1.934404	1.541675	1.113109	1.802275	1.855037
AC000124.1	0.050468	0.027708	0.176521	0.023137	0.017245
AC000372.1	0	0	0	0	0
AC000403.1	0.085324	0.510365	0.202622	0.160585	0.133501
AC001226.1	0.23895	0.147589	0	0.164321	0.091856
AC002044.1	0	0	0	0.280281	0.208904
AC002056.2	0	0	0	0	0
AC002059.1	0.236257	0.166772	0.389567	0.278519	0.20759
AC002064.2	0.131781	0.144703	0.092186	0.060415	0.04503
AC002064.3	0.33424	0.183507	0.350721	0.076617	0.913685
AC002066.1	0	0.021861	0.013927	0	0.013605
AC002069.2	0.020327	0	0.02133	0	0
AC002070.1	0.206604	0.445001	0.183439	0.218581	0.472458
AC002076.1	0	0	0.384662	0.252094	0.156579
AC002091.1	0.433552	0.80931	1.243475	0.993817	0.385179
AC002091.2	0.280335	0.791547	0.924496	0.605882	0.49264
AC002094.1	0.045998	0	0.257418	0	0
AC002094.2	0	0	0	0	0
AC002094.4	0.629286	0.086374	0.220105	0.360623	0.107514
AC002101.1	0	0.013325	0	0	0
AC002115.1	0.085031	0	0.029741	0.038983	0.058111
AC002116.2	2.228354	0.247435	0.998346	0.792024	1.616977
AC002128.1	0.237685	0.078298	0.315914	0.435871	1.283239
AC002128.2	0.078152	0.128722	0.27335	0.035829	0.64091
AC002306.1	0	0.0283	0	0	0
AC002310.1	0.916431	0.406388	0.924634	1.417976	1.074936
AC002310.2	0.06715	0.041476	0.026423	0.011544	0.043023
AC002347.1	0.059517	0	0.062451	0	0
AC002347.2	0.282443	0	0.19758	0.258974	0
AC002351.1	0	0	0	0	0
AC002368.1	0	0	0	0	0
AC002375.1	0	0	0	0	0
AC002378.1	7.293276	0.088983	0	0.222908	0
AC002383.1	0	0	0	0	0
AC002386.1	0	0	0	0	0
AC002398.1	2.412999	0.993604	3.125414	1.348239	2.280334
AC002398.2	0	0	0	0	0.075016
AC002401.1	0.0688	0	0	0.141937	0.070527
AC002401.2	0.07488	0	0	0	0
AC002401.3	0.036589	0.120531	0	0.050323	0.037508
AC002401.4	0.027614	0	0.115904	0	0.056616
AC002428.1	0.271453	0	0	0	0
AC002428.2	3.655381	0.128101	0.040804	0	0
AC002429.2	0	0	0	0	0
AC002451.1	0.061742	0	0	0.063688	0.063292
AC002456.1	0.914729	0.172187	0.137119	13.335665	0
AC002460.1	0	0	0	0	0
AC002463.1	0	0	0	0	0
AC002464.1	0	0	0	0	0
AC002465.2	0	0	0	0	0
AC002467.1	1.717906	0.997075	0.755381	1.507652	0.75473
AC002470.1	4.850148	0.469918	1.454086	2.074083	0.376028
AC002472.1	0	0	0	0	0
AC002480.1	0.033099	0.043613	0.027785	0.045523	0.006786
AC002480.2	0	0.005115	0	0.079505	0
AC002480.5	0.012558	0.062052	0	0.017272	0
AC002511.1	0.016099	0	0.033786	0.044284	0.033007
AC002511.2	0	0	0	0.19682	0.183371
AC002519.1	0.023065	0	0.030253	0.103098	0.112308
AC002519.2	0	0	0.081105	0.015187	0.067915
AC002546.1	0	0.090811	0	0	0.282593
AC002550.1	0	0	0	0.016057	0.011968
AC002550.2	1.062386	0.471111	0.943267	0.337191	1.424154
AC002551.1	0	0	0	0.037402	0
AC002553.1	0.381403	0.264507	0.484464	0.855872	1.399294
AC002553.2	0.437743	0.400556	0.153109	0.66895	1.545639
